genus,value
Scheffersomyces,12
Schistosoma,37
Schizopepon,1
Schizophyllum,13
Schizosaccharomyces,21
Schmidtea,1
Sclerotinia,9
Sebaldella,699
Secale,1
Segniliparus,229
Seinonella,1
Selaginella,22
Selenomonas,931
Serratia,542
Shewanella,1402
Shigella,804
Shuttleworthia,80
Sideroxydans,611
Silene,2
Simonsiella,296
Simplexvirus,6
Simulium,1
Sinorhizobium,946
Slackia,213
Sodalis,1036
Solanum,3
Solenopsis,2
Solobacterium,68
Sorangium,90
Sordaria,9
Sorghum,22
Sphaerobacter,43
Sphingobacterium,335
Sphingobium,139
Sphingomonas,397
Sphingopyxis,196
Spinacia,2
Spirochaeta,231
Spiromicrovirus,1
Spironucleus,1
Spiroplasma,56
Spirosoma,240
Spodoptera,3
Sporanaerobacter,1
Sporomusa,1
Stackebrandtia,129
Staphylococcus,958
Staphylothermus,5
Starkeya,190
Staurastrum,1
Stenotrophomonas,1019
Sterkiella,2
Stigeoclonium,4
Stigmatella,80
Streptobacillus,37
Streptococcus,10405
Streptomyces,1939
Streptosporangium,48
Strongylocentrotus,13
Stylonychia,2
Subdoligranulum,1787
Suberites,1
Succinatimonas,40
Sulfitobacter,73
Sulfolobus,56
Sulfuricurvum,33
Sulfurihydrogenibium,44
Sulfurimonas,112
Sulfurospirillum,81
Sulfurovum,75
Sus,2
Sutterella,100
Symbiobacterium,111
Synechococcus,391
Synechocystis,64
Syntrophobacter,65
Syntrophomonas,73
Syntrophothermus,51
Syntrophus,236
Synura,1
T1-like viruses,324
T4-like viruses,7881
T5-like viruses,231
T7-like viruses,1699
Taeniopygia,12
Talaromyces,3
Taylorella,23
Tectivirus,17
Teredinibacter,32
Terrabacter,5
Terriglobus,34
Tetragenococcus,3
Tetrahymena,35
Tetraodon,17
Tetrapanax,1
Thalassiosira,19
Thalassobium,21
Thalassobius,1
Thauera,14
Theileria,9
Theobroma,2
Thermaerobacter,78
Thermanaerovibrio,59
Thermincola,60
Thermoanaerobacter,380
Thermoanaerobacterium,153
Thermobaculum,32
Thermobifida,90
Thermobispora,42
Thermococcus,27
Thermocrinis,12
Thermodesulfovibrio,32
Thermofilum,2
Thermomicrobium,33
Thermomonospora,26
Thermoplasma,15
Thermoproteus,1
Thermosediminibacter,103
Thermosinus,237
Thermosipho,56
Thermosphaera,1
Thermosynechococcus,78
Thermotoga,116
Thermovibrio,19
Thermus,96
Thioalkalivibrio,135
Thiobacillus,77
Thiocapsa,1
Thiomicrospira,106
Thiomonas,288
Tissierella,1
Tolumonas,1016
Tolypothrix,1
Toxoplasma,16
Treponema,226
Tribolium,105
Trichinella,2
Trichodesmium,89
Trichomonas,74
Trichoplax,8
Trichoplusia,1
Trichormus,17
Trimastix,1
Triticum,5
Tropheryma,30
Truepera,35
Trueperella,5
Trypanosoma,19
Tsukamurella,75
Tuber,16
Tulipa,1
Turbo,6
Turicibacter,1216
Uloborus,2
Uncinocarpus,2
Ureaplasma,55
