phylum,class,order,family,genus,value
Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella,1931
Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium,91
Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Acetohalobium,36
Firmicutes,Clostridia,Natranaerobiales,Anaerobrancaceae,Dethiobacter,60
Firmicutes,Clostridia,Natranaerobiales,Natranaerobiaceae,Natranaerobius,133
Firmicutes,Clostridia,Thermoanaerobacterales,Caldicellulosiruptoraceae,Caldicellulosiruptor,334
Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldanaerobacter,97
Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Moorella,115
Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,380
Firmicutes,Clostridia,Thermoanaerobacterales,Thermodesulfobiaceae,Coprothermobacter,28
Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,83
Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium,275
Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Coprobacillus,344
Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,33
Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Eubacterium,6404
Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Holdemania,479
Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,1305
Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Propionigenium,1
Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,165
Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Streptobacillus,37
Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,73
Lentisphaerae,Lentisphaeria,Lentisphaerales,Lentisphaeraceae,Lentisphaera,28
Nitrospirae,Nitrospira,Nitrospirales,Leptospirillaceae,Leptospirillum,93
Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,51
Nitrospirae,Nitrospira,Nitrospirales,Thermodesulfovibrionaceae,Thermodesulfovibrio,32
Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,221
Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,Isosphaera,59
Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,Pirellula,61
Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces,111
Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Arthrospira,124
